device_group,device_no,device_id,dose_krad_si,scan_no,vgs_min_v,vgs_max_v,points,vt_tangent_v,gm_max_s,gm_peak_vgs_v,ss_mv_dec,ss_r2,ss_vgs_start_v,ss_vgs_end_v,abs_id_at_m10p0v_a,abs_id_at_m5p0v_a,vt_0_v,gm_0_s,delta_vt_v,gm_change_pct
S,1,S1,0,1,-10.0,8.0,361,2.0569205441899654,0.14709284886704632,2.29999995231628,187.91494487750666,0.9999368536428405,0.949999988079071,1.95000004768372,3.22930571172719e-12,4.83038609111475e-12,2.0569205441899654,0.14709284886704632,0.0,0.0
S,1,S1,10,1,-10.0,8.0,361,0.9579335530638677,0.09985811595747329,1.29999995231628,201.05330868096107,0.999320306163588,-1.04999995231628,-0.0500000007450581,6.39990838102733e-12,6.10297923309133e-12,2.0569205441899654,0.14709284886704632,-1.0989869911260977,-32.112188507727765
S,1,S1,20,1,-10.0,8.0,361,-0.08435541644220113,0.08399606652972957,0.300000011920929,257.5101700687396,0.9997823731560446,-1.85000002384186,-0.850000023841858,7.64030505528979e-12,2.8373137173076697e-12,2.0569205441899654,0.14709284886704632,-2.1412759606321665,-42.895887069498805
S,1,S1,30,1,-14.0,2.0,321,-1.107370047622069,0.07403791003894689,-0.649999976158142,231.26287152694997,0.998414076371563,-3.40000009536743,-2.40000009536743,3.3584246494911e-13,3.18498005746903e-12,2.0569205441899654,0.14709284886704632,-3.1642905918120343,-49.66586709740868
S,1,S1,40,1,-14.0,2.0,321,-2.1059939781022807,0.06782008097993802,-1.60000002384186,229.9664023938126,0.9992700984484322,-4.5,-3.5,1.49333323484768e-11,1.67574010223603e-11,2.0569205441899654,0.14709284886704632,-4.162914522292246,-53.893012813125296
S,1,S1,50,1,-16.0,0.0,321,-3.078065019144157,0.06327631928268412,-2.54999995231628,266.84040890625835,0.999355722804191,-5.44999980926514,-4.44999980926514,1.13007769808604e-10,2.25090293071162e-08,2.0569205441899654,0.14709284886704632,-5.134985563334123,-56.98205604823245
S,1,S1,60,1,-18.0,0.0,361,-4.031159869580888,0.060231681599525244,-3.5,328.763073002927,0.9992058380782605,-5.90000009536743,-4.90000009536743,4.72474948054469e-10,4.86861063109245e-05,2.0569205441899654,0.14709284886704632,-6.088080413770854,-59.051930761115926
S,2,S2,0,1,-10.0,8.0,361,2.0845167694208797,0.14372125079366777,2.29999995231628,189.42533474926503,0.99993037588248,0.949999988079071,1.95000004768372,5.277536740955209e-11,1.3325174297307298e-11,2.0845167694208797,0.14372125079366777,0.0,0.0
S,2,S2,10,1,-10.0,8.0,361,0.9658739261891734,0.09425111682457826,1.29999995231628,245.40986740792687,0.9998658735301774,-0.600000023841858,0.400000005960464,2.3760410305939698e-11,2.46577758211686e-12,2.0845167694208797,0.14372125079366777,-1.1186428432317062,-34.420890227368595
S,2,S2,20,1,-10.0,8.0,361,-0.08668610506122987,0.08038297695236368,0.300000011920929,212.88985756456583,0.9997581091903597,-2.40000009536743,-1.39999997615814,5.01026997667964e-12,3.14381853883106e-12,2.0845167694208797,0.14372125079366777,-2.1712028744821095,-44.0702216906219
S,2,S2,30,1,-14.0,2.0,321,-1.1214964682652688,0.07177718289931329,-0.649999976158142,319.49063824102865,0.9997614128301062,-2.75,-1.75,2.7183533202190798e-12,1.2690681838733998e-12,2.0845167694208797,0.14372125079366777,-3.2060132376861485,-50.05805856618962
S,2,S2,40,1,-14.0,2.0,321,-2.1299894076555814,0.06660471085223246,-1.64999997615814,244.5207443514269,0.9995920290677112,-4.59999990463257,-3.59999990463257,2.2187113257743398e-11,2.1084189949505097e-11,2.0845167694208797,0.14372125079366777,-4.214506177076461,-53.65701976261467
S,2,S2,50,1,-16.0,0.0,321,-3.1175710157097196,0.061611608062756784,-2.59999990463257,310.08420190090385,0.9992227353071628,-5.09999990463257,-4.09999990463257,1.22297755256184e-10,5.15778530996158e-08,2.0845167694208797,0.14372125079366777,-5.202087785130599,-57.131177385027776
S,2,S2,60,1,-18.0,0.0,361,-4.087003058351772,0.058676158883861906,-3.54999995231628,288.3421023563593,0.9990342318920059,-6.40000009536743,-5.40000009536743,5.70979485914336e-10,7.84018993726932e-05,2.0845167694208797,0.14372125079366777,-6.171519827772651,-59.17363746847719
