device_group,device_no,device_id,dose_krad_si,scan_no,vds_min_v,vds_max_v,points,max_abs_gate_i_a,compliance_onset_v,abs_id_at_10p0v_a,abs_ig_at_10p0v_a,abs_id_at_20p0v_a,abs_ig_at_20p0v_a,abs_id_at_30p0v_a,abs_ig_at_30p0v_a,v_at_1e_m9a_v,v_at_1e_m8a_v,v_at_1e_m7a_v,v_at_1e_m6a_v,v_at_1e_m5a_v,v_at_1e_m4a_v,v_at_1e_m3a_v,low_field_conductance_s,low_field_fit_r2,abs_id_30v_0_a,id_30v_change_vs_0_pct
S,1,S1,0,1,0.0,150.0,151,6.64219623747186e-10,113.0,1.80458231691105e-10,1.5292780930487e-10,3.88483772928439e-10,2.35268832193825e-10,6.23496199114726e-10,3.00040381429056e-10,71.0,84.0,94.0,110.0,110.0,110.0,111.0,1.8355220337890283e-11,0.9924499503570426,6.23496199114726e-10,0.0
S,1,S1,10,1,0.0,150.0,151,6.82380318917097e-10,115.0,1.4194129205336002e-10,8.748263224944709e-11,3.18576359736866e-10,8.420408814657779e-11,6.6528155207024e-10,8.59694537780342e-11,36.0,38.0,42.0,57.0,113.0,114.0,114.0,1.538794391331998e-11,0.9896100294732882,6.23496199114726e-10,6.701781504818016
S,1,S1,20,1,0.0,150.0,151,6.67584709734825e-10,116.0,1.7579168676285003e-10,9.73602864995371e-11,3.93192256531449e-10,9.601525130520369e-11,8.3314483090291e-10,9.441802895082669e-11,33.0,42.0,50.0,55.0,114.0,115.0,115.0,1.8769636350219282e-11,0.9894268886225804,6.23496199114726e-10,33.62468481537733
S,1,S1,30,1,0.0,150.0,151,6.289240794821181e-10,113.0,2.41159731073637e-10,1.04628306019094e-10,1.48966694535346e-09,1.13329068351931e-10,7.726406181518541e-09,1.41322759050766e-10,18.0,32.0,34.0,36.0,64.0,101.0,103.0,6.630611182766988e-11,0.8548498713118358,6.23496199114726e-10,1139.2066210650387
S,1,S1,30,2,0.0,150.0,151,4.46418735311482e-10,115.0,1.82408366189435e-10,1.01223696091779e-10,5.971104166668791e-10,1.04081909757525e-10,1.4521235325304402e-09,1.10891185123307e-10,26.0,81.0,86.0,88.0,92.0,113.0,114.0,2.8606202003138165e-11,0.9554984751787242,6.23496199114726e-10,132.90014190820162
S,1,S1,40,1,0.0,150.0,151,4.359709482315571e-09,118.0,3.0245553284125e-10,1.13749010210995e-10,2.49363218962628e-09,2.74523737076038e-10,1.98144380902932e-08,6.69540589637307e-10,16.0,28.0,32.0,34.0,38.0,117.0,117.0,1.022941824320427e-10,0.7778102126129988,6.23496199114726e-10,3077.9565165636654
S,1,S1,50,1,0.0,150.0,151,3.32311351769476e-08,117.0,4.06087330429017e-10,1.16270076899738e-10,1.3254141117968702e-09,1.22406862423929e-10,4.3858729981138805e-09,1.32074406966609e-10,18.0,35.0,39.0,41.0,43.0,87.0,116.0,5.733123723236392e-11,0.924940421077091,6.23496199114726e-10,603.4321948299257
S,1,S1,60,1,0.0,150.0,151,3.92130594661921e-09,118.0,1.0937469818728102e-09,1.09376729895416e-10,2.8448896571831e-09,1.32242522488113e-10,1.15302674075224e-08,2.13996070863587e-10,9.0,30.0,34.0,36.0,39.0,43.0,117.0,1.1274326566130345e-10,0.9311352985958975,6.23496199114726e-10,1749.2923331198658
S,1,S1,60,2,0.0,150.0,151,4.2133024846791004e-10,119.0,7.56789075850861e-10,1.16899490087974e-10,1.3857841540954e-09,1.19841803147835e-10,2.53589460541548e-09,1.17782200659278e-10,15.0,92.0,110.0,116.0,117.0,118.0,118.0,5.423780270507004e-11,0.9594005752546786,6.23496199114726e-10,306.7217424927501
S,2,S2,0,1,0.0,150.0,151,6.16681206100367e-10,112.0,2.34924968367523e-10,2.11983014475337e-10,4.71414351999044e-10,3.21140558590116e-10,7.24205362345742e-10,4.09450140459455e-10,76.0,107.0,109.0,110.0,110.0,110.0,110.0,2.0197776351859715e-11,0.9916782544454972,7.24205362345742e-10,0.0
S,2,S2,10,1,0.0,150.0,151,6.53924414617535e-10,113.0,1.86100079790918e-10,1.1211354067342e-10,5.84637893652484e-10,1.31154143101497e-10,1.5087100457833501e-09,1.65578578625869e-10,26.0,35.0,36.0,57.0,111.0,112.0,112.0,2.703046477124462e-11,0.9480455277662687,7.24205362345742e-10,108.3262737652968
S,2,S2,20,1,0.0,150.0,151,6.649367167987921e-10,115.0,1.90341603589772e-10,9.340922479950109e-11,5.065395880521351e-10,9.3325180916537e-11,1.2144317773632501e-09,9.698197800389609e-11,28.0,39.0,46.0,48.0,111.0,113.0,113.0,2.386100999325029e-11,0.9701692301217792,7.24205362345742e-10,67.69163009641868
S,2,S2,30,1,0.0,150.0,151,6.33421592954875e-10,112.0,2.57109528112309e-10,1.0904172009773601e-10,1.8905115251044402e-09,1.62128865888178e-10,1.22247811873422e-08,2.69353983561871e-10,17.0,30.0,33.0,35.0,57.0,100.0,103.0,8.226910390303612e-11,0.8257721780131405,7.24205362345742e-10,1588.0268806275396
S,2,S2,30,2,0.0,150.0,151,4.43770631353146e-10,115.0,1.87074550295208e-10,9.311140747314539e-11,6.36435515399825e-10,9.630585218189939e-11,1.5645416073795102e-09,1.09378006651895e-10,25.0,85.0,91.0,94.0,112.0,113.0,114.0,3.047603745843974e-11,0.9529636248229252,7.24205362345742e-10,116.03562866641468
S,2,S2,40,1,0.0,150.0,151,4.01603216459989e-07,115.0,3.2116273529503303e-10,1.10932818486731e-10,2.8261364359849503e-09,4.17686801812422e-10,2.4416682009587e-08,1.1630996166189801e-09,16.0,27.0,32.0,35.0,35.0,44.0,51.0,1.1445248717021981e-10,0.7659930209068214,7.24205362345742e-10,3271.513562189044
